"word","gt","options"
"wedge","triangle","['triangle', 'rectangle', 'circle']"
"flag","rectangle","['triangle', 'rectangle', 'circle']"
"carrot","triangle","['triangle', 'rectangle', 'circle']"
"wheel","circle","['triangle', 'rectangle', 'circle']"
"towel","rectangle","['triangle', 'rectangle', 'circle']"
"disk","circle","['triangle', 'rectangle', 'circle']"
"pyramid","triangle","['triangle', 'rectangle', 'circle']"
"cake","circle","['triangle', 'rectangle', 'circle']"
"pizza","circle","['triangle', 'rectangle', 'circle']"
"board","rectangle","['triangle', 'rectangle', 'circle']"
"moon","circle","['triangle', 'rectangle', 'circle']"
"ball","circle","['triangle', 'rectangle', 'circle']"
"door","rectangle","['triangle', 'rectangle', 'circle']"
"dagger","triangle","['triangle', 'rectangle', 'circle']"
"window","rectangle","['triangle', 'rectangle', 'circle']"
"paper","rectangle","['triangle', 'rectangle', 'circle']"
"arrowhead","triangle","['triangle', 'rectangle', 'circle']"
"plate","circle","['triangle', 'rectangle', 'circle']"
"sail","triangle","['triangle', 'rectangle', 'circle']"
"box","rectangle","['triangle', 'rectangle', 'circle']"
"ice cube","rectangle","['triangle', 'rectangle', 'circle']"
"spade","triangle","['triangle', 'rectangle', 'circle']"
"coin","circle","['triangle', 'rectangle', 'circle']"
"die","rectangle","['triangle', 'rectangle', 'circle']"
"orange","circle","['triangle', 'rectangle', 'circle']"
"nose","triangle","['triangle', 'rectangle', 'circle']"
"corn chip","triangle","['triangle', 'rectangle', 'circle']"
"globe","circle","['triangle', 'rectangle', 'circle']"
"laptop","rectangle","['triangle', 'rectangle', 'circle']"
"brick","rectangle","['triangle', 'rectangle', 'circle']"
"button","circle","['triangle', 'rectangle', 'circle']"
"traffic cone","triangle","['triangle', 'rectangle', 'circle']"
"merry go round","circle","['triangle', 'rectangle', 'circle']"
"teabag","rectangle","['triangle', 'rectangle', 'circle']"
"waffle","rectangle","['triangle', 'rectangle', 'circle']"
"baseball","circle","['triangle', 'rectangle', 'circle']"
"eye","circle","['triangle', 'rectangle', 'circle']"
"slice of pizza","triangle","['triangle', 'rectangle', 'circle']"
"toast","rectangle","['triangle', 'rectangle', 'circle']"
"ring","circle","['triangle', 'rectangle', 'circle']"
"mountain","triangle","['triangle', 'rectangle', 'circle']"
"card","rectangle","['triangle', 'rectangle', 'circle']"
"slice of cake","triangle","['triangle', 'rectangle', 'circle']"
"pancake","circle","['triangle', 'rectangle', 'circle']"
"christmas tree","triangle","['triangle', 'rectangle', 'circle']"
"phone","rectangle","['triangle', 'rectangle', 'circle']"
"ice cream cone","triangle","['triangle', 'rectangle', 'circle']"
"falafel","circle","['triangle', 'rectangle', 'circle']"
"calculator","rectangle","['triangle', 'rectangle', 'circle']"
"tent","triangle","['triangle', 'rectangle', 'circle']"
"clock","circle","['triangle', 'rectangle', 'circle']"
"clothes hanger","triangle","['triangle', 'rectangle', 'circle']"
"book","rectangle","['triangle', 'rectangle', 'circle']"
"potato","circle","['triangle', 'rectangle', 'circle']"
"stamp","rectangle","['triangle', 'rectangle', 'circle']"
"tile","rectangle","['triangle', 'rectangle', 'circle']"
"clown hat","triangle","['triangle', 'rectangle', 'circle']"
"rice cake","circle","['triangle', 'rectangle', 'circle']"
"slice of cheese","rectangle","['triangle', 'rectangle', 'circle']"
"knob","circle","['triangle', 'rectangle', 'circle']"
"napkin","rectangle","['triangle', 'rectangle', 'circle']"
"boulder","circle","['triangle', 'rectangle', 'circle']"
"basketball","circle","['triangle', 'rectangle', 'circle']"
"yield sign","triangle","['triangle', 'rectangle', 'circle']"
"page","rectangle","['triangle', 'rectangle', 'circle']"
"envelope","rectangle","['triangle', 'rectangle', 'circle']"
"doughnut","circle","['triangle', 'rectangle', 'circle']"
"balloon","circle","['triangle', 'rectangle', 'circle']"
"hand fan","triangle","['triangle', 'rectangle', 'circle']"
"file cabinet","rectangle","['triangle', 'rectangle', 'circle']"
"bead","circle","['triangle', 'rectangle', 'circle']"
"bookshelf","rectangle","['triangle', 'rectangle', 'circle']"
"drain cover","circle","['triangle', 'rectangle', 'circle']"
"hamburger","circle","['triangle', 'rectangle', 'circle']"
"folder","rectangle","['triangle', 'rectangle', 'circle']"
"saucer","circle","['triangle', 'rectangle', 'circle']"
"grapefruit","circle","['triangle', 'rectangle', 'circle']"
"tablet","rectangle","['triangle', 'rectangle', 'circle']"
"meatball","circle","['triangle', 'rectangle', 'circle']"
"marble","circle","['triangle', 'rectangle', 'circle']"
"TV","rectangle","['triangle', 'rectangle', 'circle']"
"watch face","circle","['triangle', 'rectangle', 'circle']"
"teepee","triangle","['triangle', 'rectangle', 'circle']"
"desk","rectangle","['triangle', 'rectangle', 'circle']"
"pill","circle","['triangle', 'rectangle', 'circle']"
"notebook","rectangle","['triangle', 'rectangle', 'circle']"
"tire","circle","['triangle', 'rectangle', 'circle']"
"pearl","circle","['triangle', 'rectangle', 'circle']"
"puck","circle","['triangle', 'rectangle', 'circle']"
"sun","circle","['triangle', 'rectangle', 'circle']"
"table","rectangle","['triangle', 'rectangle', 'circle']"
"disc","circle","['triangle', 'rectangle', 'circle']"
"carpet","rectangle","['triangle', 'rectangle', 'circle']"
"prism","triangle","['triangle', 'rectangle', 'circle']"
"guitar pick","triangle","['triangle', 'rectangle', 'circle']"
"medal","circle","['triangle', 'rectangle', 'circle']"
"hula hoop","circle","['triangle', 'rectangle', 'circle']"
"magazine","rectangle","['triangle', 'rectangle', 'circle']"
"frisbee","circle","['triangle', 'rectangle', 'circle']"
"kite","triangle","['triangle', 'rectangle', 'circle']"
"gear","circle","['triangle', 'rectangle', 'circle']"
"penny","circle","['triangle', 'rectangle', 'circle']"
"poster","rectangle","['triangle', 'rectangle', 'circle']"
"mirror","rectangle","['triangle', 'rectangle', 'circle']"
"airplane wing","triangle","['triangle', 'rectangle', 'circle']"
"orb","circle","['triangle', 'rectangle', 'circle']"
"compass","circle","['triangle', 'rectangle', 'circle']"
"cupcake","circle","['triangle', 'rectangle', 'circle']"
"license plate","rectangle","['triangle', 'rectangle', 'circle']"
